Any,Categoria,Indicador,Valor,Nota,Font
2019,"Dades de context","Població de la ciutat de Barcelona",1.636.762,,"Font: Instituto Nacional de Estadística. INE."
2019,"Dades de context","Població de l'àrea metropolitana de Barcelona",3.291.654,,"Font: Instituto Nacional de Estadística. INE."
2019,"Dades de context","% població amb estudis universitaris o cicles de grau superior","31,90%","Dades 2018.","Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2019,"Dades de context","% del pressupost inicial de l'Ajuntament de Barcelona dedicat a cultura","5,17%",,"Font: Institut de Cultura. Ajuntament de Barcelona."
2019,"Dades de context","Renda familiar bruta disponible (euros/any)",21.896,"Dades 2017.","Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2019,"Dades de context","PIB Barcelona (milions d'€)",87.404,"1a estimació. Preus corrents. ","Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2019,"Dades de context","Taxa d'atur","8,50%","4t trimestre","Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2019,"Dades de context","Nombre anual de turistes als hotels",8.512.074,"Visitants que almenys pernocten una nit a un hotel de Barcelona amb independència del motiu de la seva estada.","Font: Turisme de Barcelona."
2019,"Dades de context","Superfície de la ciutat (en quilòmetres quadrats)","101,358",,"Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2019,"Dades de context","Superfície de l'àrea metropolitana (en quilòmetres quadrats)",636,,"Font: Àrea Metropolitana de Barcelona."
2019,"Dades de context","Nre. d'edificis declarats Patrimoni de la Humanitat per la UNESCO",8,,"Font: UNESCO."
2019,"Museus i espais d'exposicions","Nre. de museus i grans centres d'exposicions",53,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2019,"Museus i espais d'exposicions","Nre. d'espais i seus dels museus i centres",71,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2019,"Museus i espais d'exposicions","Visitants de museus, exposicions i col·leccions",26.792.134,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2019,"Museus i espais d'exposicions","Visitants als 10 espais amb més públic",17.452.257,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2019,"Museus i espais d'exposicions","Nre. de centres amb més de 500.000 visitants anuals",16,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2019,"Museus i espais d'exposicions","Nre. d'exposicions temporals amb més de 100.000 visites",15,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2019,"Museus i espais d'exposicions","Valoració ciutadana dels museus i centres d'exposicions (del 0 al 10)","7,7","Dades 2018.","Font: enquesta Òmnibus municipal. Ajuntament de Barcelona."
2019,"Espais d'arts escèniques","Nre. de teatres",44,,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2019,"Espais d'arts escèniques","Nre. de sales d'arts escèniques",55,"Inclou sales de teatres i altres tipus d'espais on es fan espectacles d'arts escèniques amb regularitat.","Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2019,"Espais d'arts escèniques","Nre. de representacions teatrals",12.088,,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2019,"Espais d'arts escèniques","Espectadors de les sales d'arts escèniques",2.543.028,,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2019,"Espais d'arts escèniques","% d'ocupació de les sales d'arts escèniques","61,37%",,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2019,"Espais d'arts escèniques","Nre. d'espectacles amb més de 25.000 espectadors",16,,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
