Any,Equipament,Seu,TitolExposicio,Visites,DataInici,DataFi,TipusProduccio,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Mosca de ball",682,03/10/2019,20/10/2019,Coproducció,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","L'esclat dels còmics: contrastos i influències dels grans mestres de la historieta nord-americana",,08/11/2018,20/01/2019,Pròpia,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Si mireu el vent d'on ve. 50 anys del Grup de Folk",3376,29/01/2019,24/03/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Un món paral·el",5132,23/05/2019,15/09/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Autogeo. Matei Glass. Fotografia i vídeo",3383,13/06/2019,08/09/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Estado de malestar (malestar_exhuberancia-anomalía). María ruido",,13/11/2018,13/01/2019,Coproducció,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Jo soc allò prohibit. Isaki Lacuesta",2267,13/11/2019,31/12/2019,Coproducció,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","RCR. El Somni de la Vila",3932,02/07/2019,13/10/2019,Pròpia,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Lluís Llach. Com un arbre nu",1876,12/12/2019,31/12/2019,Pròpia,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","(Al)most life, after all. Young Gallery Weekend",1658,26/09/2019,20/10/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Vicenç Altaió, els ulls fèrtils",2240,30/10/2019,31/12/2019,Pròpia,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","El desig de creure",2184,14/02/2019,14/04/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Import Wallnie-Bruxelles / Export Barcelona. Re-activate the city",1431,04/04/2019,23/04/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Núria Font. Cosmogonia del moviment",,17/11/2018,20/01/2019,Pròpia,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Les imatges eco. Isaki Lacuesta",4768,23/05/2019,15/09/2019,Coproducció,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Transitar. Orientar-se en un món canviant",752,22/01/2019,27/01/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Aranès, l'occità de Catalunya",568,15/10/2019,27/10/2019,Externa,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","David Torrents. Pirulís. Columnes d'expressió lliure",1799,14/02/2019,23/04/2019,Pròpia,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arts Santa Mònica. Centre de la Creativitat","Arts Santa Mònica. Centre de la Creativitat","Immenses elles. Retrats de dones grans de diverses cultures",1227,15/02/2019,10/03/2019,Coproducció,,01,"Ciutat Vella",01,"el Raval","Pública no municipal","Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.377227254,2.175597264
2019,"Arxiu Fotogràfic de Barcelona","Arxiu Fotogràfic de Barcelona","Eduard Olivella. documentant cultura",2963,27/11/2018,18/05/2019,Pròpia,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Arxius i biblioteques patrimonials",Arxius,"Història i memòria",41.386872640,2.181806284
2019,"Arxiu Fotogràfic de Barcelona","Arxiu Fotogràfic de Barcelona","La ciutat dels passatges. Abans de la Via Laietana",10585,18/06/2019,31/10/2019,Pròpia,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Arxius i biblioteques patrimonials",Arxius,"Història i memòria",41.386872640,2.181806284
2019,"Arxiu Fotogràfic de Barcelona","Arxiu Fotogràfic de Barcelona","Gràfica anarquista. fotografia i revolució social, 1936-1939",2789,27/11/2019,18/10/2020,Pròpia,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Arxius i biblioteques patrimonials",Arxius,"Història i memòria",41.386872640,2.181806284
2019,CaixaForum,CaixaForum,"Max Beckmann",98894,21/03/2019,26/05/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Poètiques de l 'emoció",60639,07/03/2019,19/05/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Velázquez i el segle d'or",165901,15/11/2018,01/03/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"En caiguda lliure",37843,10/10/2019,09/03/2020,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"La pintura. Un repte permanent",47275,27/06/2019,29/09/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Luxe. Dels assiris a Alexandria",93338,05/04/2019,11/08/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Òpera. Passió, poder i política",73305,19/09/2019,26/01/2020,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Una certa Foscor",97943,19/06/2018,05/01/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Construint nous mons",39962,12/06/2019,15/09/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"L'enemic viu al sofà",30560,26/11/2018,03/02/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Modernisme i Modernitat (Edifici)",48224,02/01/2018,31/12/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Toulouse Lautrec i el esperit de Montmatre ",196631,18/10/2018,20/01/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Càmera i ciutat",45027,31/10/2019,08/03/2020,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,CaixaForum,CaixaForum,"Joseph Beuys. Instal·lació permanent",14526,02/01/2018,31/12/2019,Pròpia,,03,Sants-Montjuïc,14,"la Font de la Guatlla",Privada,"Museus i espais d'exposicions","Centres d'exposicions","Arts visuals",41.371294526,2.149575441
2019,"Can Framis. Fundació Vila Casas","Can Framis. Fundació Vila Casas","Premis Ynglada Guillot",776,01/07/2019,28/07/2019,Coproducció,,02,Eixample,66,"el Parc i la Llacuna del Poblenou",Privada,"Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
2019,"Can Framis. Fundació Vila Casas","Can Framis. Fundació Vila Casas","Patrim. Universitat de Barcelona",776,01/07/2019,28/07/2019,Coproducció,,02,Eixample,66,"el Parc i la Llacuna del Poblenou",Privada,"Museus i espais d'exposicions","Museus i col·leccions","Arts visuals",41.402912812,2.194947848
