address;addres limpiado 1;category;id;Columna4;lat;lng;location;name;originalId;polarity;subCategory;details;reviews;Columna1;Columna2;Columna3
Rambla Sant Josep;Rambla Sant Josep;99;poi;Rambla Sant Josep;129562;4.138.254.877.027;21.718.575.450.281;Barcelona;Palau de la Virreina;4adcda50f964a520244121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129562;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129562;;
Passeig de Gràcia 41;Passeig de Gràcia 41;poi;129567;129567;41.391.747.539.889;21.652.167.568.069;Barcelona;Casa Amatller;4adcda50f964a5202b4121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129567;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129567;;;
Passeig de Gràcia 35;Passeig de Gràcia 35;poi;129573;129573;41.391.207.789.553;21.657.493.272.298;Barcelona;Casa Lleó-Morera;4adcda50f964a520344121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129573;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129573;;;
Carrer Sant Honorat 1-3;Carrer Sant Honorat 1-3;poi;129577;129577;41.382.962.511.619;2.176.977.954.579;Barcelona;Palau de la Generalitat;4adcda50f964a5203c4121e3;0;Capitol Building;http://tour-pedia.org/api/getPlaceDetails?id=129577;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129577;;;
Plaça de Sant Jaume;Plaça de Sant Jaume;1;poi;Plaça de Sant Jaume;129580;41.382.391.479.519;21.772.348.880.768;Barcelona;Ajuntament de Barcelona;4adcda50f964a520454121e3;0;City Hall;http://tour-pedia.org/api/getPlaceDetails?id=129580;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129580;;
Parc de la Ciutadella;Parc de la Ciutadella;poi;129585;129585;41.388.448.043.872;2.185.526.064.636;Barcelona;Desconsol;4adcda50f964a520534121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129585;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129585;;;
129588;Drassanes;Drassanes;Spain;129588;poi;Barcelona;41.376.944;2.175.998;http://tour-pedia.org/api/getPlaceDetails?id=129588;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129588;;;;;;
Carrer del Paradís 10;Carrer del Paradís 10;poi;129589;129589;4.138.338;2.177.134;Barcelona;Temple d'August;4adcda50f964a520584121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129589;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129589;;;
Parc de l'Escorxador;Parc de l'Escorxador;poi;129590;129590;41.378.135.763.499;2.146.475.254.368;Barcelona;Dona i l'Ocell (La);4adcda50f964a5205c4121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129590;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129590;;;
Av. Diagonal;Av. Diagonal; 416-420;poi;Av. Diagonal;129595;41.397.861.132.009;21.639.213.415.548;Barcelona;Casa Terrades (Casa de les Punxes);4adcda50f964a520644121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129595;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129595;;
Passeig Picasso;Passeig Picasso;5;poi;Passeig Picasso;129603;41.388.526.002.275;21.838.796.713.944;Barcelona;Castell dels Tres Dragons;4adcda51f964a520774121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129603;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129603;;
Carrer de Ferran;Carrer de Ferran;poi;129604;129604;41.381.333.870.413;21.753.126.778.287;Barcelona;Carrer Ferran;4adcda51f964a520784121e3;0;Road;http://tour-pedia.org/api/getPlaceDetails?id=129604;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129604;;;
Carrer del Fossar de les Moreres;Carrer del Fossar de les Moreres;poi;129607;129607;41.383.737;21.824.276.447.296;Barcelona;Fossar de les Moreres;4adcda51f964a5207c4121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129607;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129607;;;
Carrer de Ganduxer 87;Carrer de Ganduxer 87;poi;129623;129623;41.399.669.741.231;21.334.514.684.575;Barcelona;Colegio Teresiano;4adcda51f964a520ac4121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129623;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129623;;;
Avinguda De Pedralbes 7;Avinguda De Pedralbes 7;poi;129624;129624;41.389.285.937.996;21.194.064.617.157;Barcelona;Pabellones de la Finca Güell;4adcda51f964a520ad4121e3;0;Garden;http://tour-pedia.org/api/getPlaceDetails?id=129624;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129624;;;
Near Avinguda del Marquès de Comilles;Near Avinguda del Marquès de Comilles;poi;129627;129627;41.370.966.027.884;21.500.435.484.095;Barcelona;Barcelona Pavilion;4adcda51f964a520b84121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129627;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129627;;;
La Rambla;La Rambla;poi;129631;129631;41.381.223.647.221;21.732.299.688.109;Barcelona;Miró Mosaic on the Rambla;4adcda51f964a520c44121e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129631;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129631;;;
Parc de la Ciutadella;Parc de la Ciutadella;poi;129632;129632;41.388.062.456.397;21.889.185.905.457;Barcelona;Parlament de Catalunya;4adcda51f964a520c84121e3;0;Capitol Building;http://tour-pedia.org/api/getPlaceDetails?id=129632;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129632;;;
Travessera de Grácia;Travessera de Grácia;poi;129633;129633;41.402.853;2.161.381;Barcelona;Plaça De John Lennon;4adcda51f964a520c94121e3;0;Monument / Landmark;http://tour-pedia.org/api/getPlaceDetails?id=129633;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129633;;;
129738;Sants Estació;Sants Estació;Spain;129738;poi;Barcelona;41.379.635;2.139.746;http://tour-pedia.org/api/getPlaceDetails?id=129738;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129738;;;;;;
Av. de la Reina Maria Cristina;Av. de la Reina Maria Cristina; s/n;poi;Av. de la Reina Maria Cristina;129739;41.373.282.267.943;21.511.960.029.602;Barcelona;Fira de Barcelona;4adcda60f964a520994421e3;0;Convention Center;http://tour-pedia.org/api/getPlaceDetails?id=129739;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129739;;
129820;Espanya;Espanya;Spain;129820;poi;Barcelona;41.375.713;2.149.632;http://tour-pedia.org/api/getPlaceDetails?id=129820;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129820;;;;;;
129847;Tetuan;Tetuan;Spain;129847;poi;Barcelona;41.394.631;2.175.088;http://tour-pedia.org/api/getPlaceDetails?id=129847;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129847;;;;;;
C/ Vilana;C/ Vilana;12;poi;C/ Vilana;129866;41.406.497;2.126.994;Barcelona;Centre Mèdic Teknon;4b56dc5cf964a5204d1d28e3;0;Hospital;http://tour-pedia.org/api/getPlaceDetails?id=129866;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129866;;
129870;Joanic;Joanic;Spain;129870;poi;Barcelona;41.406.037;2.162.971;http://tour-pedia.org/api/getPlaceDetails?id=129870;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129870;;;;;;
Plaça de Willy Brandt;Plaça de Willy Brandt; 11-14;poi;Plaça de Willy Brandt;129910;41.399.537.866.727;22.058.445.303.259;Barcelona;CCIB;4b5d6a24f964a520525c29e3;0;Convention Center;http://tour-pedia.org/api/getPlaceDetails?id=129910;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129910;;
129913;Fontana;Fontana;Spain;129913;poi;Barcelona;41.402.699;2.152.924;http://tour-pedia.org/api/getPlaceDetails?id=129913;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129913;;;;;;
Plaça de les Glòries;Plaça de les Glòries;37;poi;Plaça de les Glòries;129936;41.386.935.545.082;21.181.297.302.246;Barcelona;080 Barcelona Fashion;4b61a2ddf964a520191b2ae3;0;Event Space;http://tour-pedia.org/api/getPlaceDetails?id=129936;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129936;;
129938;Lesseps;Lesseps;Spain;129938;poi;Barcelona;41.406.212;2.149.698;http://tour-pedia.org/api/getPlaceDetails?id=129938;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129938;;;;;;
Nicaragua 75-77;Nicaragua 75-77;poi;130075;130075;41.384.258.819.841;21.397.423.102.023;Barcelona;Partit Dels Socialistes de Catalunya;4b6eb0eff964a520bbc62ce3;0;Government Building;http://tour-pedia.org/api/getPlaceDetails?id=130075;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130075;;;
